"PassengerId","Age","Survived"
892,34.5,1
893,47,0
894,62,0
895,27,1
896,22,1
897,14,1
898,30,1
899,26,1
900,18,1
901,21,1
902,NA,NA
903,46,0
904,23,1
905,63,0
906,47,0
907,24,1
908,35,1
909,21,1
910,27,1
911,45,0
912,55,0
913,9,1
914,NA,NA
915,21,1
916,48,0
917,50,0
918,22,1
919,22.5,1
920,41,0
921,NA,NA
922,50,0
923,24,1
924,33,1
925,NA,NA
926,30,1
927,18.5,1
928,NA,NA
929,21,1
930,25,1
931,NA,NA
932,39,1
933,NA,NA
934,41,0
935,30,1
936,45,0
937,25,1
938,45,0
939,NA,NA
940,60,0
941,36,1
942,24,1
943,27,1
944,20,1
945,28,1
946,NA,NA
947,10,1
948,35,1
949,25,1
950,NA,NA
951,36,1
952,17,1
953,32,1
954,18,1
955,22,1
956,13,1
957,NA,NA
958,18,1
959,47,0
960,31,1
961,60,0
962,24,1
963,21,1
964,29,1
965,28.5,1
966,35,1
967,32.5,1
968,NA,NA
969,55,0
970,30,1
971,24,1
972,6,1
973,67,0
974,49,0
975,NA,NA
976,NA,NA
977,NA,NA
978,27,1
979,18,1
980,NA,NA
981,2,1
982,22,1
983,NA,NA
984,27,1
985,NA,NA
986,25,1
987,25,1
988,76,0
989,29,1
990,20,1
991,33,1
992,43,0
993,27,1
994,NA,NA
995,26,1
996,16,1
997,28,1
998,21,1
999,NA,NA
1000,NA,NA
1001,18.5,1
1002,41,0
1003,NA,NA
1004,36,1
1005,18.5,1
1006,63,0
1007,18,1
1008,NA,NA
1009,1,1
1010,36,1
1011,29,1
1012,12,1
1013,NA,NA
1014,35,1
1015,28,1
1016,NA,NA
1017,17,1
1018,22,1
1019,NA,NA
1020,42,0
1021,24,1
1022,32,1
1023,53,0
1024,NA,NA
1025,NA,NA
1026,43,0
1027,24,1
1028,26.5,1
1029,26,1
1030,23,1
1031,40,1
1032,10,1
1033,33,1
1034,61,0
1035,28,1
1036,42,0
1037,31,1
1038,NA,NA
1039,22,1
1040,NA,NA
1041,30,1
1042,23,1
1043,NA,NA
1044,60.5,0
1045,36,1
1046,13,1
1047,24,1
1048,29,1
1049,23,1
1050,42,0
1051,26,1
1052,NA,NA
1053,7,1
1054,26,1
1055,NA,NA
1056,41,0
1057,26,1
1058,48,0
1059,18,1
1060,NA,NA
1061,22,1
1062,NA,NA
1063,27,1
1064,23,1
1065,NA,NA
1066,40,1
1067,15,1
1068,20,1
1069,54,0
1070,36,1
1071,64,0
1072,30,1
1073,37,1
1074,18,1
1075,NA,NA
1076,27,1
1077,40,1
1078,21,1
1079,17,1
1080,NA,NA
1081,40,1
1082,34,1
1083,NA,NA
1084,11.5,1
1085,61,0
1086,8,1
1087,33,1
1088,6,1
1089,18,1
1090,23,1
1091,NA,NA
1092,NA,NA
1093,0.33,1
1094,47,0
1095,8,1
1096,25,1
1097,NA,NA
1098,35,1
1099,24,1
1100,33,1
1101,25,1
1102,32,1
1103,NA,NA
1104,17,1
1105,60,0
1106,38,1
1107,42,0
1108,NA,NA
1109,57,0
1110,50,0
1111,NA,NA
1112,30,1
1113,21,1
1114,22,1
1115,21,1
1116,53,0
1117,NA,NA
1118,23,1
1119,NA,NA
1120,40.5,0
1121,36,1
1122,14,1
1123,21,1
1124,21,1
1125,NA,NA
1126,39,1
1127,20,1
1128,64,0
1129,20,1
1130,18,1
1131,48,0
1132,55,0
1133,45,0
1134,45,0
1135,NA,NA
1136,NA,NA
1137,41,0
1138,22,1
1139,42,0
1140,29,1
1141,NA,NA
1142,0.92,1
1143,20,1
1144,27,1
1145,24,1
1146,32.5,1
1147,NA,NA
1148,NA,NA
1149,28,1
1150,19,1
1151,21,1
1152,36.5,1
1153,21,1
1154,29,1
1155,1,1
1156,30,1
1157,NA,NA
1158,NA,NA
1159,NA,NA
1160,NA,NA
1161,17,1
1162,46,0
1163,NA,NA
1164,26,1
1165,NA,NA
1166,NA,NA
1167,20,1
1168,28,1
1169,40,1
1170,30,1
1171,22,1
1172,23,1
1173,0.75,1
1174,NA,NA
1175,9,1
1176,2,1
1177,36,1
1178,NA,NA
1179,24,1
1180,NA,NA
1181,NA,NA
1182,NA,NA
1183,30,1
1184,NA,NA
1185,53,0
1186,36,1
1187,26,1
1188,1,1
1189,NA,NA
1190,30,1
1191,29,1
1192,32,1
1193,NA,NA
1194,43,0
1195,24,1
1196,NA,NA
1197,64,0
1198,30,1
1199,0.83,1
1200,55,0
1201,45,0
1202,18,1
1203,22,1
1204,NA,NA
1205,37,1
1206,55,0
1207,17,1
1208,57,0
1209,19,1
1210,27,1
1211,22,1
1212,26,1
1213,25,1
1214,26,1
1215,33,1
1216,39,1
1217,23,1
1218,12,1
1219,46,0
1220,29,1
1221,21,1
1222,48,0
1223,39,1
1224,NA,NA
1225,19,1
1226,27,1
1227,30,1
1228,32,1
1229,39,1
1230,25,1
1231,NA,NA
1232,18,1
1233,32,1
1234,NA,NA
1235,58,0
1236,NA,NA
1237,16,1
1238,26,1
1239,38,1
1240,24,1
1241,31,1
1242,45,0
1243,25,1
1244,18,1
1245,49,0
1246,0.17,1
1247,50,0
1248,59,0
1249,NA,NA
1250,NA,NA
1251,30,1
1252,14.5,1
1253,24,1
1254,31,1
1255,27,1
1256,25,1
1257,NA,NA
1258,NA,NA
1259,22,1
1260,45,0
1261,29,1
1262,21,1
1263,31,1
1264,49,0
1265,44,0
1266,54,0
1267,45,0
1268,22,1
1269,21,1
1270,55,0
1271,5,1
1272,NA,NA
1273,26,1
1274,NA,NA
1275,19,1
1276,NA,NA
1277,24,1
1278,24,1
1279,57,0
1280,21,1
1281,6,1
1282,23,1
1283,51,0
1284,13,1
1285,47,0
1286,29,1
1287,18,1
1288,24,1
1289,48,0
1290,22,1
1291,31,1
1292,30,1
1293,38,1
1294,22,1
1295,17,1
1296,43,0
1297,20,1
1298,23,1
1299,50,0
1300,NA,NA
1301,3,1
1302,NA,NA
1303,37,1
1304,28,1
1305,NA,NA
1306,39,1
1307,38.5,1
1308,NA,NA
1309,NA,NA
