"PassengerId","Sex","Survived"
892,"male",1
893,"male",1
894,"male",1
895,"male",1
896,"male",1
897,"male",1
898,"male",1
899,"male",1
900,"male",1
901,"male",1
902,"male",1
903,"male",1
904,"male",1
905,"male",1
906,"male",1
907,"male",1
908,"male",1
909,"male",1
910,"male",1
911,"male",1
912,"male",1
913,"male",1
914,"male",1
915,"male",1
916,"male",1
917,"male",1
918,"male",1
919,"male",1
920,"male",1
921,"male",1
922,"male",1
923,"male",1
924,"male",1
925,"male",1
926,"male",1
927,"male",1
928,"male",1
929,"male",1
930,"male",1
931,"male",1
932,"male",1
933,"male",1
934,"male",1
935,"male",1
936,"male",1
937,"male",1
938,"male",1
939,"male",1
940,"male",1
941,"male",1
942,"male",1
943,"male",1
944,"male",1
945,"male",1
946,"male",1
947,"male",1
948,"male",1
949,"male",1
950,"male",1
951,"male",1
952,"male",1
953,"male",1
954,"male",1
955,"male",1
956,"male",1
957,"male",1
958,"male",1
959,"male",1
960,"male",1
961,"male",1
962,"male",1
963,"male",1
964,"male",1
965,"male",1
966,"male",1
967,"male",1
968,"male",1
969,"male",1
970,"male",1
971,"male",1
972,"male",1
973,"male",1
974,"male",1
975,"male",1
976,"male",1
977,"male",1
978,"male",1
979,"male",1
980,"male",1
981,"male",1
982,"male",1
983,"male",1
984,"male",1
985,"male",1
986,"male",1
987,"male",1
988,"male",1
989,"male",1
990,"male",1
991,"male",1
992,"male",1
993,"male",1
994,"male",1
995,"male",1
996,"male",1
997,"male",1
998,"male",1
999,"male",1
1000,"male",1
1001,"male",1
1002,"male",1
1003,"male",1
1004,"male",1
1005,"male",1
1006,"male",1
1007,"male",1
1008,"male",1
1009,"male",1
1010,"male",1
1011,"male",1
1012,"male",1
1013,"male",1
1014,"male",1
1015,"male",1
1016,"male",1
1017,"male",1
1018,"male",1
1019,"male",1
1020,"male",1
1021,"male",1
1022,"male",1
1023,"male",1
1024,"male",1
1025,"male",1
1026,"male",1
1027,"male",1
1028,"male",1
1029,"male",1
1030,"male",1
1031,"male",1
1032,"male",1
1033,"male",1
1034,"male",1
1035,"male",1
1036,"male",1
1037,"male",1
1038,"male",1
1039,"male",1
1040,"male",1
1041,"male",1
1042,"male",1
1043,"male",1
1044,"male",1
1045,"male",1
1046,"male",1
1047,"male",1
1048,"male",1
1049,"male",1
1050,"male",1
1051,"male",1
1052,"male",1
1053,"male",1
1054,"male",1
1055,"male",1
1056,"male",1
1057,"male",1
1058,"male",1
1059,"male",1
1060,"male",1
1061,"male",1
1062,"male",1
1063,"male",1
1064,"male",1
1065,"male",1
1066,"male",1
1067,"male",1
1068,"male",1
1069,"male",1
1070,"male",1
1071,"male",1
1072,"male",1
1073,"male",1
1074,"male",1
1075,"male",1
1076,"male",1
1077,"male",1
1078,"male",1
1079,"male",1
1080,"male",1
1081,"male",1
1082,"male",1
1083,"male",1
1084,"male",1
1085,"male",1
1086,"male",1
1087,"male",1
1088,"male",1
1089,"male",1
1090,"male",1
1091,"male",1
1092,"male",1
1093,"male",1
1094,"male",1
1095,"male",1
1096,"male",1
1097,"male",1
1098,"male",1
1099,"male",1
1100,"male",1
1101,"male",1
1102,"male",1
1103,"male",1
1104,"male",1
1105,"male",1
1106,"male",1
1107,"male",1
1108,"male",1
1109,"male",1
1110,"male",1
1111,"male",1
1112,"male",1
1113,"male",1
1114,"male",1
1115,"male",1
1116,"male",1
1117,"male",1
1118,"male",1
1119,"male",1
1120,"male",1
1121,"male",1
1122,"male",1
1123,"male",1
1124,"male",1
1125,"male",1
1126,"male",1
1127,"male",1
1128,"male",1
1129,"male",1
1130,"male",1
1131,"male",1
1132,"male",1
1133,"male",1
1134,"male",1
1135,"male",1
1136,"male",1
1137,"male",1
1138,"male",1
1139,"male",1
1140,"male",1
1141,"male",1
1142,"male",1
1143,"male",1
1144,"male",1
1145,"male",1
1146,"male",1
1147,"male",1
1148,"male",1
1149,"male",1
1150,"male",1
1151,"male",1
1152,"male",1
1153,"male",1
1154,"male",1
1155,"male",1
1156,"male",1
1157,"male",1
1158,"male",1
1159,"male",1
1160,"male",1
1161,"male",1
1162,"male",1
1163,"male",1
1164,"male",1
1165,"male",1
1166,"male",1
1167,"male",1
1168,"male",1
1169,"male",1
1170,"male",1
1171,"male",1
1172,"male",1
1173,"male",1
1174,"male",1
1175,"male",1
1176,"male",1
1177,"male",1
1178,"male",1
1179,"male",1
1180,"male",1
1181,"male",1
1182,"male",1
1183,"male",1
1184,"male",1
1185,"male",1
1186,"male",1
1187,"male",1
1188,"male",1
1189,"male",1
1190,"male",1
1191,"male",1
1192,"male",1
1193,"male",1
1194,"male",1
1195,"male",1
1196,"male",1
1197,"male",1
1198,"male",1
1199,"male",1
1200,"male",1
1201,"male",1
1202,"male",1
1203,"male",1
1204,"male",1
1205,"male",1
1206,"male",1
1207,"male",1
1208,"male",1
1209,"male",1
1210,"male",1
1211,"male",1
1212,"male",1
1213,"male",1
1214,"male",1
1215,"male",1
1216,"male",1
1217,"male",1
1218,"male",1
1219,"male",1
1220,"male",1
1221,"male",1
1222,"male",1
1223,"male",1
1224,"male",1
1225,"male",1
1226,"male",1
1227,"male",1
1228,"male",1
1229,"male",1
1230,"male",1
1231,"male",1
1232,"male",1
1233,"male",1
1234,"male",1
1235,"male",1
1236,"male",1
1237,"male",1
1238,"male",1
1239,"male",1
1240,"male",1
1241,"male",1
1242,"male",1
1243,"male",1
1244,"male",1
1245,"male",1
1246,"male",1
1247,"male",1
1248,"male",1
1249,"male",1
1250,"male",1
1251,"male",1
1252,"male",1
1253,"male",1
1254,"male",1
1255,"male",1
1256,"male",1
1257,"male",1
1258,"male",1
1259,"male",1
1260,"male",1
1261,"male",1
1262,"male",1
1263,"male",1
1264,"male",1
1265,"male",1
1266,"male",1
1267,"male",1
1268,"male",1
1269,"male",1
1270,"male",1
1271,"male",1
1272,"male",1
1273,"male",1
1274,"male",1
1275,"male",1
1276,"male",1
1277,"male",1
1278,"male",1
1279,"male",1
1280,"male",1
1281,"male",1
1282,"male",1
1283,"male",1
1284,"male",1
1285,"male",1
1286,"male",1
1287,"male",1
1288,"male",1
1289,"male",1
1290,"male",1
1291,"male",1
1292,"male",1
1293,"male",1
1294,"male",1
1295,"male",1
1296,"male",1
1297,"male",1
1298,"male",1
1299,"male",1
1300,"male",1
1301,"male",1
1302,"male",1
1303,"male",1
1304,"male",1
1305,"male",1
1306,"male",1
1307,"male",1
1308,"male",1
1309,"male",1
